node_publisher_id,target_publisher_id,reason,evidence,author,dated
31A2DCEE-81EE-42FF-992F-388195AA3106,1DEA070D-3A6D-4ECC-8668-988CDC69D90C,"Rive Ditch ends at a node with no outflow that lies ON Basingstoke Canal (canal), 0.00 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 505,466.1 E 162,013.7 N with 1.77 km above it; it is 0.000 m from link 1DEA070D-3A6D-4ECC-8668-988CDC69D90C, of which it is not an endpoint; that link does not itself yet reach tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
63936B8E-BEF4-403C-973E-4BB2BE349B7E,CF49B2D7-6BC5-416E-956F-CE2FA7ADD352,"Hamshill Fleet ends at a node with no outflow that lies ON an unnamed watercourse (tidalRiver), 0.66 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 587,023.0 E 176,969.5 N with 1.88 km above it; it is 0.657 m from link CF49B2D7-6BC5-416E-956F-CE2FA7ADD352, of which it is not an endpoint; that link reaches tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
7B9E71AA-9398-428F-B298-855A690124C5,9585E64C-09A2-4BEC-A7CE-61269BC4B50C,"Grand Union Canal ends at a node with no outflow that lies ON River Cole (inlandRiver), 0.00 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 410,638.5 E 284,561.2 N with 3.22 km above it; it is 0.000 m from link 9585E64C-09A2-4BEC-A7CE-61269BC4B50C, of which it is not an endpoint; that link does not itself yet reach tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
7C5881C4-7F72-4B20-B3E3-0063A27DD620,C8593FE5-26EE-4657-84C6-9E19DF964959,"an unnamed watercourse ends at a node with no outflow that lies ON an unnamed watercourse (tidalRiver), 0.99 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 375,680.0 E 215,941.0 N with 0.76 km above it; it is 0.991 m from link C8593FE5-26EE-4657-84C6-9E19DF964959, of which it is not an endpoint; that link reaches tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
8F3DA70F-1FDA-4B4B-ACCA-CB7FA1E25AA8,666E5715-D4AB-4251-8A90-07EB825BF709,"an unnamed watercourse ends at a node with no outflow that lies ON Bourne Brook (inlandRiver), 0.00 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 420,213.4 E 301,599.5 N with 46.42 km above it; it is 0.000 m from link 666E5715-D4AB-4251-8A90-07EB825BF709, of which it is not an endpoint; that link does not itself yet reach tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
CE347905-A140-4ADF-A7D4-F25A3B512705,DB73D2A7-75F5-4409-99EE-258B745BF09A,"Foston Beck; Kelk Beck ends at a node with no outflow that lies ON Creyke Dike (inlandRiver), 0.58 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 508,987.3 E 456,017.5 N with 22.96 km above it; it is 0.584 m from link DB73D2A7-75F5-4409-99EE-258B745BF09A, of which it is not an endpoint; that link does not itself yet reach tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
DCBE3194-98F6-41B5-896E-0E37233AF8CF,A2E120E9-34EA-451E-A5B4-31E5BF232830,"Swine, Benningholme and Arnold Ings Drain ends at a node with no outflow that lies ON Lambwath Stream (inlandRiver), 0.00 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 512,354.1 E 438,758.4 N with 3.09 km above it; it is 0.000 m from link A2E120E9-34EA-451E-A5B4-31E5BF232830, of which it is not an endpoint; that link does not itself yet reach tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
E31F3840-F483-456B-A523-7F6E221517B4,DBE7D464-A3A6-41DF-A9AB-0FEBE54CB52F,"Wey and Arun Canal ends at a node with no outflow that lies ON Birtley Brook (inlandRiver), 0.00 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 502,124.1 E 143,225.4 N with 0.97 km above it; it is 0.000 m from link DBE7D464-A3A6-41DF-A9AB-0FEBE54CB52F, of which it is not an endpoint; that link does not itself yet reach tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
E804139C-55CD-4CF4-A86E-1E51DFE4034C,3C1FFFDA-47F4-4674-85D1-E0D33CD88FA6,"Wall Brook ends at a node with no outflow that lies ON Wall Brook (inlandRiver), 0.00 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 368,679.1 E 316,483.7 N with 2.18 km above it; it is 0.000 m from link 3C1FFFDA-47F4-4674-85D1-E0D33CD88FA6, of which it is not an endpoint; that link does not itself yet reach tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
F0D87DE5-CDD1-412F-A7E0-281A8C888EBD,D1876E22-CEC8-480F-8D76-41DE48714A3E,"Will Clough ends at a node with no outflow that lies ON River Colne (inlandRiver), 0.00 m from its line. There is no gap here to bridge: the two channels already meet on the ground and the survey simply records no node between them. The target is cut at the point and the node merged, so no geometry is invented and nothing new is published.","Measured on OS Open Rivers issue 2026-04: the dead end is at 403,945.3 E 411,896.6 N with 7.48 km above it; it is 0.000 m from link D1876E22-CEC8-480F-8D76-41DE48714A3E, of which it is not an endpoint; that link does not itself yet reach tidal water. JUDGED BY RULE from the audit's junction evidence, not by a person looking at the place.","rewt candidates (rule), reviewed by Claude",2026-08-31
